Year,SOI
2016.2916666669,-22
2016.3750000003,2.8
2016.4583333336,5.8
2016.5416666669,4.2
2016.6250000003,5.3
2016.7083333336,13.5
2016.7916666669,-4.3
2016.8750000003,-0.7
2016.9583333336,2.6
2017.0416666669,1.3
2017.1250000003,-2.2
2017.2083333336,5.1
2017.2916666669,-6.3
2017.3750000003,0.5
2017.4583333336,-10.4
2017.5416666669,8.1
2017.6250000003,3.3
2017.7083333336,6.9
2017.7916666669,9.1
2017.8750000003,11.8
2017.9583333336,-1.4
2018.0416666669,8.9
2018.1250000003,-6
2018.2083333336,10.5
2018.2916666669,4.5
2018.3750000003,2.1
2018.4583333336,-5.5
2018.5416666669,1.6
2018.6250000003,-6.9
2018.7083333336,-10
2018.7916666669,3
2018.8750000003,-0.1
2018.9583333336,9.3
2019.0416666669,-0.6
2019.1250000003,-13.5
2019.2083333336,-6.8
2019.2916666669,-1.3
2019.3750000003,-9
2019.4583333336,-10.4
2019.5416666669,-5.6
2019.6250000003,-4.4
2019.7083333336,-12.4
2019.7916666669,
2019.8750000003,
2019.9583333336,
